abato	аббат.
afekti	1. vt аффектировать, делать что-л. неестественно; притворяться; 2. vn притворяться; манерничать; ломаться; рисоваться; жеманиться. 
afero	1. дело (но не афера!); 2. дело, вещь; 3. дело, бизнес.
afikso	грам.  аффикс, словообразовательная частица.
afisxo	афиша, плакат, объявление. 
aflikti	vt огорчать, удручать, расстраивать, угнетать, печалить;
aforismo	афоризм, изречение.
afranki	vt франкировать, оплачивать вперёд (в том числе почтовыми марками,– перевозку и доставку почтовых отправлений или багажа);
Afriko	Σ! 1¶  ~a – африканский. 2¶  гп. maj.  A~o – Африка.  
afto	мед.  афта, язвочка, изъязвление.
agaco	оскомина, раздражение.
agapo	ист., рел.  агапа, вечеря любви
agariko	бот.  агарикус, шампиньон.
agato	Σ! 1¶  мин. ~o агат.    2¶   maj.  Агата (жен. имя).
agendo	ежедневник, тетрадь или книжка для записи текущих дел;
agento	агент, сотрудник
agi	vn действовать; поступать.
agiti	vt 1. (por; kontraux) агитировать (за; против); настраивать (в пользу; против); подстрекать; 2. волновать; возбуждать; 3. хим.  помешивать жидкость без движения посуды; 4. уст.  тщательно обдумывать или обсуждать (идею, план и т.п.). 
aglo	1. орн.  орёл (тж. как символ; тж. о ком-л.).
aglomeri	vt спец.  агломерировать; соединять в однородную массу; спекать;
aglutini	vt 1. хим. , мед.  агглютинировать, склеивать, соединять в сгусток; 2. лингв.  агглютинировать (= alglui.2).
agnoski	vt (официально) признать;
agonii	vn прям., перен.  быть в агонии, агонизировать.
agordi	vt 1. муз. , рад. , эл.  настроить; подстроить. 2. перен.  настроить (привести в соответствующее настроение). 
agrabla	приятный.
agrafo	1. (одёжный) крючок, платяной крючок; аграф, пряжка, застёжка (в виде крючка – у книги, ожерелья и т.п.); 2. хирургическая скрепка; скобообразная скрепка для сшивания бумаг.
agresi	vt (iun, ion) совершить агрессию (против кого-л., против чего-л.), подвергнуть агрессии (кого-л., что-л.), напасть (на кого-л., на что-л.);
agrikulturo	сельское хозяйство.
agro	земельное угодье; (возделываемое) поле;
agronomo	агроном.
agxioti	vn играть на бирже
agxo	возраст.
aidoso	мед. СПИД, синдром приобретённого иммунодефицита (= akirita imundeficita sindromo, AIDS);
ajlo	1. бот.  чеснок; 2. головка чеснока (= ajla bulbo, ajlobulbo). 
ajn	par: kiu ~ кто (бы) ни.
akacio	бот.  акация
akademio	разн.  академия.
akapari	vt 1. скупить, перекупить (что-л. для перепродажи  = foracxeti); спекулировать, барышничать (чем-л.); 2. перен.  прибирать к рукам, стяжать с корыстной целью, захапывать, хапать. 
akaro	энт.  клещ.
akceli	vt 1. ускорять (тж. хим., физ.), убыстрять, форсировать; разгонять (придавать разгон, скорость); повышать, наращивать, усиливать скорость (чего-л.); 2. (по)способствовать, (по)содействовать, споспешествовать, продвигать вперёд; 3. авт.  газовать; 4. см.  fruigi .2. 
akcento	1. фон.  ударение; 2. муз.  акцент;
akcepti	vt 1. разн.  принимать, принять (но не лекарство и не в значении «спутать»!). 2. ком.  акцептировать; 3. инф.  распознать. 
akcesora	побочный, второстепенный; дополнительный, вспомогательный.
akcidento	несчастный случай; происшествие; авария; катастрофа. 
akcio	фин.  акция
akcipitro	орн.  ястреб.
akcizo	фин.  акциз, акцизный налог, акцизный сбор, акцизная пошлина.
akiri	vt приобрести, добыть, достать, стяжать, снискать. 
aklami	vt встретить радостными криками, встретить приветственными возгласами, встретить овацией, бурно приветствовать; перен.  принять на ура.
akno	мед.  угорь
akolito	
akompani	vt 1. провожать; сопровождать; сопутствовать; водить (кого-л. куда-л.); 2. муз.  аккомпанировать. 
akordo	1. согласие; согласованность. 2. муз.  аккорд; 3. грам.  согласование. 
akra	Σ! 1¶  прям. , перен.  острый. 
akrido	
akrobato	акробат. 
akrostihxo	лит. акростих.
akrostiko	лит. акростих.
akselo	1. анат.  подмышка (= subbrako); 2. бот.  пазуха (листа). 
aksiomo	аксиома.
akso	1. тех.  вал; 2. разн.  ось. 
aktiva	1. разн.  активный; деятельный. 2. грам.  активный, действительный (о залоге). 333
akto	1. акт (поступок, решение). 2. акт, свидетельство, заключение. 3. театр.  акт, действие.
aktoro	актёр, артист.
aktuala	актуальный; злободневный, животрепещущий, текущий.
akumulatoro	эл.  аккумулятор.
akumuli	vt аккумулировать, кумулировать, накапливать, накоплять, копить, собирать, скапливать;
akupunkturo	мед. акупунктура, иглоукалывание (= nadlopunkturo);
akurata	пунктуальный, точный, аккуратный
akustiko	1. акустика (наука); 2. акустика т.е.  слышимость. 
akusxi	vt (ion = je io) прям. , перен.  разрешиться от бремени, разродиться (чем-л.); рожать, производить роды.
akuta	1. геом.  острый. 2. мед.  острый. 3. фон.  высокий, звонкий, острый.
akuzativo	грам.  винительный падеж, аккузатив.
akuzi	vt (iun pri io) обвинять, обличать (кого-л. в чём-л.).
akvaforto	офорт (доска и оттиск с неё);
akvarelo	акварель
akvario	аквариум.
akvo	1. вода. 2. вода т.е.  прозрачность (драгоценного камня, тж. перен.). 3.: kolonja ~o одеколон. 
al	prep; предлог, обычно соответствующий русскому дательному падежу с предлогом  к или без предлога;
alabastro	алебастр.
alarmi	vt 1. поднять по тревоге; 2. предупреждать об опасности сигналом тревоги; 3. вызывать тревогу, (вс)тревожить; всполошить. 
alauxdo	орн.  жаворонок.
albino	альбинос.
albumo	альбом.
aldo	муз.  альт
alegorio	аллегория, иносказание.
aleno	шило.
aleo	аллея.
alergio	мед. аллергия;
alfabeto	алфавит, азбука;
algebro	алгебра.
algo	водоросль.
algoritmo	мат., инф. алгоритм;
alia	другой, иной. 
alianco	(политический) союз, альянс;
alibio	юр.  алиби.
aliel	редк. иначе, по-другому, иным образом, иным способом (= alimaniere).
alies	редк. другого т.е. принадлежащий другому (= aliula, de aliulo).
aligatoro	зоол.  аллигатор.
alineo	абзац; красная строка.
aliteracio	лит. аллитерация;
aliu	редк. 1. см. aliulo; 2. см. alia.
alkemio	алхимия (= alhxemio);
alko	зоол.  лось.
alkoholo	хим.  1. алкоголь, спирт; 2. винный спирт (= etilalkoholo). 
alkovo	альков (ниша для кровати = litnicxo; отделённая часть спальни).
almanako	альманах
almenaux	adv по крайней мере, по меньшей мере, хотя бы, хоть бы.
almozo	милостыня, подаяние, подачка.
alno	бот.  ольха.
alo	1. крыло (птицы, самолёта, ракеты, автомобиля, мельницы, носа); 2. флигель, крыло (здания); 3. фланг, крыло (армии); 4. лопасть, крыло (пропеллера); 5. одна из зеркально симметрично расположенных створок (двери, окна и т.п.);
alojo	тех. 1. сплав (металлов = kunfandajxo); 2. сомнит. лигатура, примесь (= almiksajxo, kromelemento);
aloo	бот.  алоэ, столетник.
alta	1. разн.  высокий; 2. высокомерный; 3. высокий, возвышенный; 4. имеющий высоту; высотой.
altaro	1. церк.  алтарь; жертвенник (тж. перен.); престол (столик в алтаре). 2. maj; астр.  Жертвенник (созвездие). 
alternativo	альтернатива.
alterni	vn чередоваться, сменяться, перемежаться.
aludi	vt (ion, iun) намекать, делать намёки (на что-л., на кого-л.).
alumeto	спичка.
aluminio	алюминий.
aluvio	
amalgamo	
amara	прям., перен. горький (= maldolcxa);
amaso	куча; груда; скопление; масса; толпа; туча, бездна, тьма, уйма.
amatoro	любитель.
ambasado	посольство (посол вместе со своими советниками и помощниками);
ambasadoro	посол, посланник. 
ambaux	оба, обе.
ambicio	честолюбие, славолюбие, властолюбие; амбиция
ambigua	неоднозначный, обтекаемый, двусмысленный (= dusenca, dusignifa);
ambli	vn идти иноходью, бежать иноходью.
amboso	1. наковальня.
ambro	амбра.
Ambrozio	
ambulanco	1. полевой (или  походный) госпиталь; 2. транспортное средство для перевозки раненных и больных; карета (или  машина) скорой помощи, «неотложка».
amebo	зоол. амёба;
amelo	крахмал.
amen	interj аминь!.
amendi	vt (legxon, dokumenton ktp) вносить поправки, изменения (в закон, документ и т.п.);
Ameriko	
ametisto	аметист.
amfibioj	зоол. амфибии, земноводные.
amfiteatro	разн.  амфитеатр.
amforo	1. амфора; 2. maj; астр.  Водолей (созвездие, знак зодиака  = Akvisto).  
ami	vt 1. любить (кого-л., что-л.); 2. иметь пристрастие, питать привязанность; 2. иметь пристрастие, питать привязанность;
amiko	друг, приятель.
amnestio	амнистия, помилование.
amoniako	хим.  1. аммиак (газ); 2. аммиак, нашатырный спирт;
amorfa	аморфный, бесформенный.
amoro	плотская любовь, любовная страсть, любовная связь, сексуальное влечение;
amortizi	vt фин., тех.  амортизировать; гасить.
amplekso	объём, размер.
ampolo	1. ампула (тж. анат.); 2. колба; 3. (электрическая) лампа;
amputi	vt (iun je io, ion al iu) мед.  ампутировать, отнимать (что-л. кому-л.).
amuleto	амулет, ладанка.
amuzi	vt забавлять, развлекать, потешать.
anagramo	анаграмма.
anakronismo	анахронизм.
analfabeto	неграмотный (сущ.), неграмотный человек, неуч (о ком-л. не умеющем читать и писать);
analitiko	мат.  аналитика, анализ бесконечно малых (величин).
analizi	vt анализировать, проанализировать; разбирать; разлагать (тж. хим., физ.);
analoga	1. аналогичный, сходный; 2. тех. аналоговый;
analogio	1. аналогия; 2. см.  analogeco;
ananaso	бот.  1. ананас (растение); 2. разг.  ананас (плод  = ananasfrukto);
anapesto	лит. анапест.
anarhxio	прям., перен. анархия.
anarkio	прям., перен. анархия;
anaso	орн.  утка.
anatemo	1. рел.  анафема, великое отлучение (от церкви); 2. перен.  проклятие;
anatomo	анатом.
ancxo	муз. язычок (у духовых инструментов).
ancxovo	анчоус, хамса (рыба = engrauxlo; кушанье из этой рыбы).
anekdoto	анекдот; забавная история.
aneksi	vt 1. аннексировать, захватить, отторгнуть, присоединить; 2. присовокупить (что-л. менее значительное к чему-л. важному);
angilo	ихт.  угорь.
angino	мед.  ангина.
angio	анат.  сосуд (= vaskulo.1);
anglo	англичанин.  
angoro	тоска, тревога, беспокойство, томление; стеснение (в груди);
angulo	1. разн.  угол; 2. уголок (постоянная рубрика в периодическом издании); 3. -угольник (составная часть названий геометрических фигур);
angxelo	ангел.
anheli	vn тяжело дышать, задыхаться, быть запыхавшимся, иметь одышку;
anilino	хим. анилин;
animalo	животное;
animo	1. разн.  душа; 2. тех.  внутренняя часть предмета;
anizo	бот.  1. анис (растение); 2. разг.  плод аниса (= anizfrukto);
ankaux	adv также (и), тоже.
ankoraux	adv ещё.
ankro	1. мор. , эл.  якорь; 2. тех. , стр.  анкер (деталь часов; деталь для скрепления частей сооружений и машин);
anomalio	аномалия, неправильность, отклонение от нормы.
anonci	vt объявлять, возвещать, извещать, сообщать, анонсировать, доводить до сведения (публично); доложить (объявить о чьём-л. приходе).
anonima	анонимный, безымённый, безымянный.
ansero	1. орн.  гусь; 2. перен.  неумелый, бестолковый человек;
anstataux	prep, subj вместо, взамен.
antagonismo	антагонизм, непримиримые противоречия.
antagonisto	антагонист, непримиримый противник.
Antarkto	геогр. Антарктика (= la Antarkta Regiono); Антарктида (= la Antarkta Kontinento);
antaux	prep 1. перед (о пространстве);2. перед, до, прежде, раньше, тому назад (о времени; в этом значении может входить в состав сложного союза  antaux ol прежде чем; перед тем как);3. перед, прежде (о значимости);
anteno	1. зоол. , энт.  усик; сяжок; 2. мор.  длинный реёк; 3. рад. , тел.  антенна;
anti-	против 
antibiotiko	мед. антибиотик;
anticipi	vt предвосхищать, предварять, опережать, упреждать; выполнять (или  совершать) заранее, досрочно, предварительно.
Antikristo	рел.  Антихрист.
antikva	1. древний, старинный; античный; антикварный (о вещи);
antilopo	зоол.  антилопа.
antimono	хим. сурьма;
antipatio	(al, kontraux) антипатия (к), неприязнь (к) (= malsimpatio).
antipodo	1. место на земном шаре, лежащее прямо под нами в другом полушарии; 2. перен. нечто прямо противоположное;
antitezo	антитеза, антитезис, противопоставление;
antologio	антология.
antropologo	антрополог;
anunciacio	иногда maj; рел. благовещение.
anuso	анат. анус, задний проход, анальное (или заднепроходное) отверстие;
aorto	анат. аорта;
aparato	разн. аппарат; прибор;
aparta	отдельный, особый, обособленный;
apartamento	апартамент(ы), покои, квартира (жилище из нескольких сообщающихся комнат).
aparteni	vn принадлежать, относиться (входить в состав, быть в числе);
apatio	апатия, безразличие, безучастие, безучастность, равнодушие;
apelacii	vn 1. юр. (al io, al iu) апеллировать т.е. подавать апелляцию (куда-л., кому-л.); (al io kontraux io) обжаловать (где-л. что-л..); 2. перен. (al io, al iu) апеллировать т.е. обращаться, взывать (к чему-л., к кому-л.);
apelo	поверка, перекличка, построение (в армии, тюрьме и т.п.);
apenaux	1. adv (об интенсивности действия) едва, еле, почти не (= preskaux ne); (о количестве) едва, насилу (= ne pli ol); (о времени, в сочетании со словом «когда») только (что) (= jxus); 2. subj едва (лишь), (чуть) только, (как) только, (лишь) только (= tuj post kiam, tuj kiam);
aperi	vn явиться, появиться, показаться; возникнуть; оказаться; выйти (в свет) (об издании);
aperitivo	аперитив.
aperta	открытый, доступный (= nefermita, nekovrita, libere alirebla);
aperturo	1. отверстие; 2. тех., физ. апертура.
apetito	аппетит;
aplauxdi	vt (ion, iun) 1. хлопать (в ладоши), аплодировать, рукоплескать (чему-л., кому-л.); 2. перен. горячо одобрять; приветствовать (что-л., кого-л.);
apliki	vt применять, прилагать (использовать);
aplombo	апломб, самоуверенность;
apogeo	1. астр. апогей; 2. перен. апогей, высшая точка, высшая степень; расцвет; разгар;
apogi	vt прям., перен. 1. подпирать, поддерживать; 2. прислонить;
apokrifa	1. рел. апокрифический; 2. недостоверный (= neauxtentika);
apologo	лит. аполог, басня (о животных);
apopleksio	мед. апоплексия, внезапное кровоизлияние, внезапное нарушение кровообращения (обычно о мозговом кровообращении); инсульт;
apostolo	1. рел. апостол; 2. перен. апостол, проповедник;
apostrofo	1. апостроф (знак «'», заменяющий опущенную гласную при усечении слова или служащий для выделения части слова); 2. лит. апострофа (стилистическая фигура);
apoteko	аптека;
apoteozo	1. рел. обожествление, обоготворение, возведение в ранг бога (= diigo); 2. (неуёмное) прославление (= gloregado); 3. театр. апофеоз (тж. перен.);
apozicio	грам. приложение (= apudmeto).
aprilo	иногда maj апрель;
apriora	априорный, независимый от опыта; инф. предопределённый;
apro	зоол. вепрь, дикий кабан, дикая свинья (= sovagxporko);
aprobi	vt одобрить, утвердить, признать полезным или годным, апробировать;
apud	prep около, возле, вблизи, близ, подле;
arabesko	муз., иск. арабеска.
araneo	зоол. паук;
arangxi	vt 1. устраивать, улаживать, налаживать; 2. приводить в порядок, в должное (рас)положение; обустраивать; 3. муз. аранжировать; 4. инф., спец. форматировать, верстать;
arbalesto	арбалет;
arbitra	произвольный; своевольный, самоуправный;
arbitracio	1. юр. арбитраж, третейский суд (действие, решение, но не орган!); 2. спорт. судейство;
arbo	дерево;
arbusto	бот. куст, кустарник;
arcxo	1. муз. смычок; 2. эл. бугель, дуга (токосъёмника, токоприёмника);
ardeo	орн. цапля;
ardezo	1. мин. аспид, аспидный сланец, глинистый сланец, шиферный сланец, шифер; 2. аспидная доска, грифельная доска (= ardeztabul(et)o);
ardi	vn прям., перен. быть раскалённым, накалённым; полыхать, пылать;
areno	1. арена, ристалище; 2. перен. арена, поприще;
areo	1. площадь (величина поверхности, занимаемое на плоскости пространство; тж. мат.); зона, участок; 2. см. kompostareo.
areometro	физ. ареометр;
aresti	vt арестовать, посадить под арест, взять под арест; задержать (преступника); взять под стражу; разг. забрать;
argilo	глина;
argumenti	1. vn приводить аргументы, доводы, доказательства; 2. vt аргументировать, доказывать, обосновывать;
argxento	серебро;
arhxeologo	см.  arkeologo.
arhxipelago	см.  arkipelago.
arhxitekto	см.  arkitekto.
arhxitekturo	см.  arkitekturo.
arhxivo	см.  arkivo.
ariero	обоз, тыл, хвост (армии, отряда и т.п.);
ario	муз.  ария.
aristokrato	аристократ;
aritmetiko	арифметика.
arkado	архит.  аркада.
arkaika	архаический, архаичный, (безнадёжно) устарелый;
arkaismo	архаизм (старинное слово или оборот речи; подражание старинному стилю в литературе).
arkeo	ковчег
arkeologo	археолог;
arkitekto	архитектор, зодчий;
arkitekturo	разн. архитектура; зодчество;
arkivo	архив;
arko	1. разн.  дуга, арка;2. мат.  дуговая мера угла (= arkuso); 3. лук (для стрельбы  = pafarko); 4. муз. лига (знак в виде дуги = ligaturo).
arkta	арктический.
Arkto	гп. Арктика (= la Arkta Regiono);
arlekeno	арлекин, шут.
armeo	прям., перен.  армия; войско.
armi	vt (per io) 1. прям. , перен.  вооружать; снаряжать (чем-л.); 2. тех.  армировать (чем-л.);
aroganta	наглый, дерзкий, нахальный, вызывающий, бесцеремонный.
arogi	vt (иногда с дополнением al si) иметь наглость, дерзость, нахальство (сделать что-л.); позволять себе; присвоить себе право;
aromo	аромат.
aroruto	1. бот.  маранта тростниковидная;
arpegxio	муз. арпеджио;
arpegxo	муз.  арпеджио.  
arsenalo	прям., перен.  арсенал.
arseniko	мышьяк т.е. мышьяковое соединение (обычно о трёхокиси мышьяка, «белом мышьяке»);
arsxino	аршин (старинная русская мера длины, равная 0,711 м).  
arterio	1. анат.  артерия; 2. артерия, магистраль;
arteza	артезианский.
artifiko	уловка, ухищрение, приём; фокус, трюк, фортель.
artiko	1. анат.  сустав, сочленение;2. тех.  шарнир, подвижное (или  шарнирное) сочленение, соединение;
artikolo	1. грам.  член, артикль; 2. лит. , юр.  статья;
artilerio	артиллерия.
artisxoko	
arto	искусство;
artro	элемент сложных мед. терминов, обозначающий отношение к суставам ( = artiko);
artropodoj	зоол. членистоногие (= artikuloj).
asbesto	мин. асбест, горный лён;
ascendi	vt всходить, восходить, подниматься (= supreniri; suprenigxi);
asekuri	vt 1. (за)страховать (подвергнуть страхованию); 2. перен. , см.  sekurigi;
asembleo	ассамблея;
asepso	мед. асептика;
aserti	vt уверять, утверждать.
asesoro	юр.  асессор, заседатель.
asfalto	мин.  асфальт.
asfiksio	мед.  асфиксия, удушье.
asigni	vt 1. ассигновать; отпустить, предоставить (средства); 2. вызвать в суд;
asimili	vt ассимилировать, уподоблять; усваивать.
asisti	vt (iun = al iu) 1. ассистировать; помогать при оказании помощи, содействия; 2. оказывать помощь, содействие (определённым категориям граждан);
asketo	аскет.
aso	1. туз (в картах); 2. асс (др.-рим. монета).  
asocio	1. ассоциация, общество; 2. филос.  ассоциация, связь.
asonanco	лит. ассонанс, созвучие;
asparago	бот.  спаржа, аспарагус.
aspekto	1. облик, вид, внешность, наружность, образ; 2. грам.  аспект, вид; 3. астр.  аспект;
aspergi	vt кропить, окропить, окроплять (тж. церк.); опрыскать.
aspido	зоол.  настоящий аспид, гая.
aspiri	vt (ion = al io, iun = al iu) вожделеть, испытывать вожделение (к чему-л., к кому-л.); стремиться, рваться (к чему-л.); зариться (на что-л., на кого-л.).
aspirino	мед. аспирин.
astero	бот.  астра.
asteroido	астр.  астероид, малая планета (= planedeto).
astmo	мед.  астма.
astro	небесное тело.
astrologo	астролог, звездочёт (= astrodivenisto).
astronomo	астроном.
ataki	vt 1. атаковать, напасть, наброситься; 2. поражать (о болезни, чувствах);  разрушать (о вредных воздействиях);
atavismo	биол.  атавизм.
ateismo	атеизм; ср.  sendieco.
ateisto	атеист.
atenci	vt (iun, ion) покушаться, посягать (на кого-л., на что-л.).
atendi	vt ждать, ожидать; выжидать; поджидать; дожидаться.
atenta	внимательный, бдительный (в конкретный момент).
atesti	vt свидетельствовать, удостоверять (тж. юр.);
atingi	vt 1. достичь, добраться до, дойти до;  донестись (о звуке, запахе, слухах и т.п.); 2. достичь, добиться; 3. догнать, нагнать, настичь;
Atlantiko	гп. Атлантический океан, Атлантика.
Atlaso	1. миф.  Атлас, Атлант (титан, держащий небо на плечах);  2. гп.  Атлас (горный массив в Африке).  атлас (альбом карт, схем, рисунков);
atleto	атлет.
atmosfero	1. атмосфера (газообразная оболочка вокруг планеты;  единица измерения давления);  2. перен.  атмосфера, обстановка;
ato-	спец. приставка атто-, обозначающая единицу измерения, уменьшенную по сравнению с исходной в 10^18 раз.
atomo	атом;
atribui	vt придавать, приписывать;  присуждать; 
atributo	атрибут, свойство, признак.
atriplo	бот. лебеда;
atrofio	мед.  атрофия.
atuto	карт.  козырь (тж. перен.).
aux	konj союз; сочинительный союз или; либо;
auxdaca	отважный, решительный, дерзкий, смелый, удалой;
auxdi	vt слышать;
auxdienco	аудиенция, (официальный) приём.
auxditorio	1. аудитория (помещение, но не слушатели!);  2. рад. , тел. , кин.  зал для прослушивания и записи, тон-ателье, тон-студия.  
auxguri	vt 1. ист.  предсказывать по полёту птиц;  2. предсказывать, предрекать, пророчить, прорицать, предвещать;  3. предвещать, служить предзнаменованием;
auxgusto	иногда maj август (месяц).
auxkcio	аукцион, торги.
auxreolo	разн.  ореол; сияние.
auxro	рел., мед. аура.
auxroro	1. денница, утренняя заря, аврора (= matenrugxo); 2. перен. заря; 3. астр. полярное сияние; северное сияние (= nordlumo);
auxskulti	vt слушать;
auxspicio	1. предзнаменование, знамение;  2. обычно pl покровительство, поддержка;
Auxstralio	гп. Австралия.
auxtenta	см. auxtentika.
auxtentika	подлинный, достоверный, аутентичный; официально заверенный.
auxto	авто, автомобиль, (авто)машина (сокращённая форма слова auxtomobilo);
auxtobiografio	автобиография (= membiografio).
auxtobuso	см. buso.1;
auxtografo	автограф.
auxtokrato	самодержец, автократ.
auxtoktono	1. автохтон, коренной житель (= pralogxanto);  2. геол.  автохтон, автохтонная структура;
auxtomato	автомат.
auxtomobilo	автомобиль, (авто)машина.
auxtonoma	автономный, самостоятельный (обычно в политическом или экономическом смысле; тж. биол. – о нервной системе);
auxtoritato	1. авторитет (влияние);  2. власть, право распоряжаться;  3. pl власти;
auxtoro	автор.
auxtuno	осень.
avanci	vn 1. воен.  продвигаться вперёд; 2. разг.  продвигаться по службе (= promociigxi, rangaltigxi).
avano	передовая, головная часть (армии, отряда и т.п.);
avantagxo	преимущество, превосходство, авантаж; разг. плюс;
avara	скупой, скаредный, прижимистый.
avelo	плод лещины; лесной орех; фундук.
aveno	овёс.
aventuro	приключение, похождение; рискованное предприятие, авантюра.
avenuo	проспект; широкая улица; авеню; широкая мощёная аллея.
averagxo	мат. 1. среднее (сущ. = mezumo, meznombro); 2. среднее арифметическое (= aritmetika mezumo, aritmetika meznombro);
averti	vt предупреждать, предостерегать.
aviado	авиация (теория и практика полётов);
avida	жадный, алчный, падкий; перен.  жаждущий.
avizo	письменное уведомление, извещение, предупреждение (документ, бумага, афиша и т.п.); фин.  авизо.
avo	дед, дедушка.
avokado	бот. авокадо (плод);
azeno	осёл, ишак (тж. перен. – об очень глупом человеке);
azilo	убежище, прибежище, пристанище, приют, кров.
Azio	гп. Азия;
azoto	хим.  азот (= nitrogeno).
babili	1. vn болтать, тараторить (разговаривать, беседовать);  трепать, чесать, молоть языком;  точить лясы;  2. vt болтать, тараторить (высказывать, произносить);
bacilo	бакт.  бацилла.
bagatelo	безделица, пустяк, мелочь, ерунда.
bajoneto	штык;
bakhxanalio	1. иногда maj вакханалия т.е. праздник Вакха (= Bakhxofesto); 2. вакханалия т.е. оргия.
baki	vt 1. (ис)печь, выпекать;  2. обжигать (кирпичи, глиняные или фарфоровые изделия и т.п.);
bakterio	бактерия.
balado	баллада.
balai	vt мести, подметать.
balanci	vt качать, раскачивать, покачивать;  болтать (ногами, руками и т.п.);
balasto	1. прям. , перен.  балласт;  2. ж.-д.  подушка (железнодорожной насыпи);
balbuti	1. vn заикаться, запинаться;  2. vt бессвязно, невнятно говорить;  бормотать, лепетать;
baldakeno	1. балдахин; 2. церк.  киворий, кивория.
baldaux	adv скоро, вскоре; немного погодя.
baleno	1. зоол.  животное из отряда китообразных (= cetaco);  2. зоол.  кит;  3. maj; астр.  Кит (созвездие);
baleto	балет.
balisto	воен., ист. баллиста;
balkono	балкон (тж. театр.).
balo	бал.
balono	1. баллон т.е.  воздушный шар (= aerostato);  2. баллон т.е.  шарообразная колба, шарообразный сосуд (обычно стеклянный);
baloti	vn баллотировать, (тайно) голосовать.
